目录

上 篇

拌炝溜卤酱

肉丝拌辣皮 1
鸡丝拌辣皮 1
麻汁杂拌 1
椿头拌大虾 1
芥末鸡 2
大蒜拌豆腐 2
海米拌黄瓜 2
海米拌冻粉 2
调海蜇 2
麻汁心肺 2
清拌鸡 3
水晶肘子 3
海米烩芹菜 3
烩腰片 3
烩大虾 3
鸡丝烩冻粉 4
辣油白菜 4
辣油莴苣 4
辣油黄瓜皮 4
珊瑚藕 4
盐卤大虾 5
盐卤猪肝 5
五香茶鸡蛋 5
盐卤白煮鸡 5
酱 肉 5
五香酱牛肉 5
酱 鸡 6
糖醋小红萝卜 6
糖麻小红萝卜 6

杂溜烩

清杂丸子 7
清杂鸡 7
大肠丸子 7
清汤肚头 7
奶汤大肠 7
奶汤白菜 8
清汤腰穗 8
清汤白丸子 8
凤杂牡丹 8
清汤鸭杂 9
木樨汤 9
黄菜汤 9
高汤窝蛋 9
鸡蛋杂大虾 9
清汤鱼腐 10
鱼丸子 10
清汤鸡鱼丸 10
清汤海参 10
杂海参二鲜 10
清汤鱼肚 11
珍珠干贝 11
清汤油虾 11
清汤银耳 11
菊花鱼羹 11
奶汤凤衣 12
甩袖汤 12
杂肉片 12
酸辣汤 12
杂酿大肠 12

涮羊肉 13
口蘑烧猪头 13
烩软筋泡 14
烩白鱼 14
烩鸡丝 14
烩三鲜蛋卷 14
烩银鱼 14
烩鸡蛋 15
大虾鱼腩 15
虾菌海 15
烩两鸡丝 15
烩干贝三丁 16
烩鱼皮 16
烩腐皮腰丁 16
烩银丝 16
烩蘑花 16
菱肘子 17

熏炖焖烧

杂 烩 18
家常熏鱼 18
酱芋肉 18
腐乳肉 18
大虾炖肉 18
清炖肘子 19
炖软肉 19
炖辣子鸡 19
核鱼抱蛋 19
刮炖锅鱼 19
走油肉 20
三下锅 20
黄焖肉 20
原焖丸子 20
酱焖茄子 20
虎头丸子 21
油焖肉干 21
黄焖猪肝 21
黄焖小鸡 21
红焖香酥鸡 21
砂锅原焖鸭 22
黄焖鱼 22

油焖鱼 22
